"unique_storm_number","date","sw2_rain","sw1_rain","daily_rain","daily_rmk","storm_start","storm_end"
167,2016-06-15,0.9,0.734,0.86,"A",2016-06-15 18:54:00,2016-06-16 07:45:00
168,2016-06-26,1.5,1.218,1.41,"A",2016-06-26 03:57:00,2016-06-26 10:00:00
169,2016-06-30,1.05,0.817,0.98,"A",2016-06-30 16:20:00,2016-07-01 00:30:00
171,2016-09-06,0.94,1.148,1.71,"A",2016-09-06 19:08:00,2016-09-07 15:15:00
172,2016-09-10,0.68,0.571,0.77,"A",2016-09-10 04:49:00,2016-09-10 20:45:00
179,2016-09-21,1.19,1.127,1.08,"A",2016-09-21 22:32:00,2016-09-22 03:30:00
181,2016-09-22,0.09,1.374,0.42,"A",2016-09-22 07:27:00,2016-09-23 06:45:00
182,2016-09-25,0.31,0.136,0.3,"A",2016-09-25 16:40:00,2016-09-26 01:30:00
184,2016-10-26,1.22,1.107,1.15,"A",2016-10-26 06:52:00,2016-10-27 06:45:00
186,2016-11-27,0.47,0.549,0.08,"A",2016-11-28 00:57:00,2016-11-28 14:12:00
187,2016-11-28,0.73,0.864,1.1,"A",2016-11-28 14:12:00,2016-11-30 02:55:00
193,2017-01-18,0,0,0,"A",2017-01-18 09:14:00,2017-01-19 09:45:00
196,2017-01-23,0,0.009,0,"A",2017-01-23 08:41:00,2017-01-24 07:00:00
197,2017-01-24,0.05,0.018,0,"A",2017-01-24 07:00:00,2017-01-25 06:00:00
200,2017-02-12,0,0,0,"A e",2017-02-12 10:45:00,2017-02-12 16:53:00
203,2017-02-17,0,0,0,"A",2017-02-17 11:45:00,2017-02-17 20:00:00
204,2017-02-18,0,0,0,"A",2017-02-18 07:45:00,2017-02-18 20:45:00
205,2017-02-19,0,0,0,"A",2017-02-19 08:00:00,2017-02-19 23:45:00
206,2017-02-20,0,0,0.15,"A",2017-02-20 06:30:00,2017-02-20 18:04:00
207,2017-02-20,0.21,0.198,0.15,"A",2017-02-20 18:04:00,2017-02-21 23:55:00
210,2017-02-28,0.18,0.18,0.2,"A",2017-02-28 03:15:00,2017-02-28 22:07:00
211,2017-02-28,0.14,0.144,0.2,"A",2017-02-28 22:07:00,2017-03-01 10:00:00
212,2017-03-05,0.02,0.018,0,"A e",2017-03-05 12:45:00,2017-03-07 00:33:00
213,2017-03-07,0.22,0.172,0.2,"A",2017-03-07 00:33:00,2017-03-07 17:15:00
214,2017-03-24,0.53,0.504,0.51,"A",2017-03-24 16:01:00,2017-03-25 15:23:00
215,2017-03-25,0.13,0.135,0.09,"A",2017-03-25 15:23:00,2017-03-26 09:49:00
216,2017-03-26,0.41,0.351,0.38,"A",2017-03-26 09:49:00,2017-03-28 15:30:00
217,2017-03-29,0.41,0.405,0.03,"A",2017-03-30 01:00:00,2017-03-31 15:30:00
219,2017-04-03,0.4,0.369,0.19,"A",2017-04-03 19:45:00,2017-04-04 21:30:00
221,2017-04-15,0.75,0.75,0.71,"A",2017-04-15 05:18:00,2017-04-15 16:15:00
222,2017-04-15,0.15,0.738,0.71,"A",2017-04-15 23:30:00,2017-04-16 14:30:00
223,2017-04-20,1,0.853,0.73,"A",2017-04-20 01:06:00,2017-04-20 18:45:00
224,2017-04-20,0.03,0.036,0.73,"A",2017-04-20 18:45:00,2017-04-21 09:00:00
225,2017-04-27,1.01,0.918,0.89,"A",2017-04-27 04:31:00,2017-04-28 05:30:00
226,2017-04-30,0.87,0.81,0.32,"A",2017-05-01 00:15:00,2017-05-01 15:03:00
227,2017-05-01,0.2,0.218,0.65,"A",2017-05-01 15:04:00,2017-05-02 14:15:00
228,2017-06-03,1.3,0.731,2,"A",2017-06-03 05:51:00,2017-06-03 13:15:00
231,2017-06-14,0.6,0.596,0.56,"A",2017-06-14 15:51:00,2017-06-14 19:45:00
232,2017-06-18,0.38,0.424,0.48,"A",2017-06-18 04:57:00,2017-06-18 07:15:00
233,2017-06-18,0.14,0.055,0.48,"A",2017-06-18 13:00:00,2017-06-18 16:00:00
236,2017-06-22,0.83,0.878,2.14,"A",2017-06-22 16:47:00,2017-06-23 10:45:00
241,2017-07-15,1.45,0.793,1.38,"A",2017-07-15 20:45:00,2017-07-15 23:45:00
246,2018-01-11,0.17,0.483,0.15,"A",2018-01-11 04:00:00,2018-01-11 22:30:00
247,2018-01-22,0.51,0.483,0.47,"A",2018-01-22 05:45:00,2018-01-22 21:03:00
249,2018-01-26,0.02,0.483,0.02,"A",2018-01-26 10:45:00,2018-01-27 21:00:00
250,2018-02-15,0,0.483,0,"A",2018-02-15 10:00:00,2018-02-16 01:20:00
252,2018-02-23,0,0.483,0,"A e",2018-02-23 05:49:00,2018-02-23 20:33:00
254,2018-02-24,0.41,0.483,0.21,"A",2018-02-24 21:00:00,2018-02-25 05:25:00
257,2018-04-11,0.21,0.483,0,"A",2018-04-11 08:15:00,2018-04-12 13:12:00
259,2018-04-13,0.71,0.483,0.64,"A",2018-04-13 06:19:00,2018-04-14 02:03:00
262,2018-04-21,0,0.483,0,"A",2018-04-21 07:31:00,2018-04-22 07:01:00
263,2018-04-22,0,0.483,0,"A",2018-04-22 07:01:00,2018-04-23 06:22:00
264,2018-04-23,0,0.483,0,"A",2018-04-23 06:22:00,2018-04-26 17:30:00
278,2018-08-28,2.61,0.483,2.85,"P",2018-08-28 16:02:00,2018-08-28 18:56:00
279,2018-08-28,2.71,0.483,2.85,"P",2018-08-28 18:56:00,2018-08-28 22:03:00
280,2018-08-28,2.85,0.483,2.85,"P",2018-08-28 22:03:00,2018-08-29 05:37:00
281,2018-08-29,0.04,0.483,0.04,"P",2018-08-29 05:37:00,2018-08-30 12:00:00
282,2018-09-03,2.24,0.483,0.58,"P",2018-09-03 22:28:00,2018-09-04 12:52:00
284,2018-09-05,0.22,0.483,0.2,"P",2018-09-05 05:00:00,2018-09-05 21:46:00
287,2018-09-21,0.54,0.483,0.48,"P",2018-09-21 01:30:00,2018-09-21 08:30:00
