"stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","unique_storm_number"
78,2016-03-07 03:30:00,2016-03-07 03:31:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
79,2016-03-08 05:19:00,2016-03-08 05:20:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
80,2016-03-09 02:14:00,2016-03-09 07:35:00,0.171,5.35,0.0319626168224299,0.432,0.324,0.216,0.162,0.09,88.8299572587822,0.143904530759227,98.3801236240677,0.15937580027099,0,0,0,0,163
81,2016-03-13 17:30:00,2016-03-14 04:20:00,0.306,10.8333333333333,0.0282461538461538,0.108,0.108,0.108,0.09,0.072,118.21446230324,0.106393016072916,136.16701621333,0.122550314591997,0,0,0.171,0.171,165
82,2016-03-15 16:09:00,2016-03-16 15:14:00,1.239,23.0833333333333,0.0536750902527076,2.7,1.86,1.348,0.8,0.571,850.605599389477,6.80484479511581,881.270684499588,7.05016547599671,0,0.306,0.477,0.477,166
83,2016-03-26 11:15:00,2016-03-26 11:16:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545,167
84,2016-03-27 06:19:00,2016-03-27 18:03:00,0.198,11.7333333333333,0.016875,0.216,0.162,0.144,0.126,0.108,88.7273131452874,0.111796414563062,103.410516575498,0.130297250885128,0,0,0,1.545,168
85,2016-03-30 22:21:00,2016-03-31 11:48:00,0.666,13.45,0.0495167286245353,0.54,0.486,0.432,0.342,0.288,397.954875588111,1.36100567451134,442.427488773921,1.51310201160681,0,0,0.198,0.198,169
86,2016-03-31 11:48:00,2016-03-31 18:53:00,0.288,7.08333333333333,0.0406588235294118,0.324,0.27,0.252,0.18,0.162,148.503358403876,0.267306045126976,167.124854265271,0.300824737677489,0.657,0.657,0.855,0.855,170
87,2016-06-15 18:28:00,2016-06-15 19:36:00,0.734,1.13333333333333,0.647647058823529,1.14,1.08,1.06,0.98,0.716,697.035744725064,6.83095029830563,653.114841342183,6.4005254451534,0,0,0,0,177
