"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
105,"ESW1-36",1238.7,36.8,7.79,0.43,3.16,0.27,0.85,2.74,5910,2014-06-18 05:16:00,2014-06-18 20:45:00,2014-06-18 05:16:00,2014-06-19 08:00:00,0.39,5910,0
108,"ESW1-37",5.6,2.5,1.31,0.03,0.11,0.01,0.02,0.08,536,2014-08-12 03:27:00,2014-08-12 11:38:00,2014-08-12 03:23:00,2014-08-12 11:45:00,0.05,536,0
111,"ESW1-38",48.8,0.4,0.07,0.02,0.21,0.01,0.08,0.2,354,2014-09-04 20:12:00,2014-09-04 23:00:00,2014-09-04 20:09:00,2014-09-05 01:00:00,0.13,354,0
112,"ESW1-39",792.9,15.4,2.6,0.12,3.66,0.24,1.18,3.54,5711,2014-09-05 05:35:00,2014-09-05 16:30:00,2014-09-05 05:34:00,2014-09-06 09:00:00,1.38,5711,0
114,"ESW1-40a",96,6.2,0.25,0.01,0.49,0.04,0.17,0.48,1668,2014-09-20 03:29:00,2014-09-21 04:30:00,2014-09-20 03:26:00,2014-09-21 04:30:00,0.11,1668,0
115,"ESW1-40b",384.5,17.6,2.15,0.14,1.97,0.23,0.71,1.82,5944,2014-09-21 04:30:00,2014-09-21 15:08:00,2014-09-21 04:30:00,2014-09-21 15:08:00,0.57,5944,0
117,"ESW1-41",147.3,12.5,0.82,0.07,1.26,0.17,0.45,1.19,3335,2014-10-03 04:15:00,2014-10-03 15:45:00,2014-10-03 03:00:00,2014-10-03 21:15:00,0.23,3335,0
118,"ESW1-42",595.7,18.3,4.99,0.07,3.78,0.37,1.31,3.72,8778,2014-10-13 19:20:00,2014-10-14 04:13:00,2014-10-13 19:19:00,2014-10-14 04:13:00,0.93,8778,0
131,"ESW1-43",45.8,1.1,0.28,0.01,0.24,0,0.06,0.23,242,2015-04-09 14:21:00,2015-04-09 17:00:00,2015-04-09 14:21:00,2015-04-09 17:00:00,0.07,242,0
132,"ESW1-44",76.3,2,0.68,0.02,0.35,0.01,0.09,0.33,397,2015-04-09 19:19:00,2015-04-09 22:30:00,2015-04-09 19:15:00,2015-04-09 22:45:00,0.12,397,0
133,"ESW1-45",28.7,2.7,0.96,0.03,0.27,0.02,0.05,0.24,510,2015-04-10 01:06:00,2015-04-10 04:30:00,2015-04-10 01:00:00,2015-04-10 04:30:00,0.06,510,0
134,"ESW1-46",677.2,1.1,0.15,0.14,2.13,0.07,0.76,1.99,622,2015-05-17 16:58:00,2015-05-17 18:00:00,2015-05-17 16:54:00,2015-05-17 18:15:00,0.83,622,0
135,"ESW1-47",614.5,4.2,1.44,0.17,2.29,0.1,0.74,2.11,2514,2015-05-24 18:48:00,2015-05-25 03:00:00,2015-05-24 18:45:00,2015-05-25 08:00:00,0.65,2514,0
136,"ESW1-48",25.6,17.5,3.03,0.04,0.85,0.14,0.21,0.81,3076,2015-05-30 05:32:00,2015-05-30 19:30:00,2015-05-30 04:00:00,2015-05-31 00:45:00,0.21,3076,0
138,"ESW1-49",50,46.4,13.65,0.14,1.9,0.38,0.58,1.77,8605,2015-06-11 22:30:00,2015-06-12 16:15:00,2015-06-11 22:27:00,2015-06-12 21:00:00,0.54,8605,0
139,"ESW1-50",1024.7,42,9.23,0.13,4.15,0.45,1.44,4.02,13409,2015-06-15 15:47:00,2015-06-16 07:00:00,2015-06-15 15:46:00,2015-06-16 13:00:00,1.66,13409,0
141,"ESW1-51",16.9,0.1,0,0,0.08,0.02,0.04,0.07,527,2015-09-08 09:07:00,2015-09-08 13:00:00,2015-09-08 08:54:00,2015-09-08 13:00:00,0.23,527,0
142,"ESW1-52",14.1,0.5,0.05,0.01,0.12,0.05,0.07,0.11,1020,2015-09-19 00:57:00,2015-09-19 05:15:00,2015-09-19 00:57:00,2015-09-19 05:15:00,0.24,1020,0
146,"ESW1-53",17.4,39.8,4.76,0.12,1.34,0.48,0.55,1.22,7949,2015-11-26 15:06:00,2015-11-28 02:00:00,2015-11-26 15:03:00,2015-11-28 02:00:00,0.19,7949,0
