"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
68,"ESW2-22b",19213.6,7.69263756,5.384846292,2.49,73.08005682,0.803880625,26.41138896,78.46,70.59,20537,2014-06-01 18:00:00,2014-06-01 18:00:00,2014-06-01 18:00:00,2014-06-01 20:46:00,14.16,20537,0
69,"ESW2-22c",1702,4.406842476,2.937894984,0.69,7.891992408,0.16273634,2.540415074,10.83,7.2,4614,2014-06-01 20:46:00,2014-06-01 20:46:00,2014-06-01 20:46:00,2014-06-01 23:01:00,2.2,4614,0
82,"ESW2-23",225.6,1.195050328,0.185438844,0.01,1.015792779,0.081387048,0.407965457,1.2,1.01,3231,2014-08-25 08:35:00,2014-08-25 08:35:00,2014-08-25 08:32:00,2014-08-25 16:00:00,1.57,3231,0
84,"ESW2-24",2255.5,3.978574756,0.76511053,0.15,10.2524811,0.547819139,3.749041597,11.02,10.1,24313,2014-09-05 05:30:00,2014-09-05 05:30:00,2014-09-05 05:15:00,2014-09-05 23:30:00,6,24313,0
86,"ESW2-25a",102.2,3.23223465,0.0916946,0.02,0.052724395,0.138000373,0.34843948,0.14,0.03,3430,2014-09-20 03:21:00,2014-09-20 03:21:00,2014-09-20 03:20:00,2014-09-21 00:02:00,0.55,3430,0
87,"ESW2-25b",11.3,1.514471164,0.010895476,0.01,0.17487239,0.03056181,0.057582591,0.19,0.17,873,2014-09-21 00:02:00,2014-09-21 00:02:00,2014-09-21 00:02:00,2014-09-21 05:04:00,0.18,873,0
89,"ESW2-26",39.8,3.2,0.07,0.01,0.54,0.12,0.25,0.6,0.52,2549,2014-10-03 05:21:00,2014-10-03 05:21:00,2014-10-03 05:17:00,2014-10-03 22:30:00,0.2374,2549,0
90,"ESW2-27",5198.4,22.3,0.21,0.12,32.21,2.98,14.37,32.41,32.08,66139,2014-10-13 18:37:00,2014-10-13 18:37:00,2014-10-13 18:31:00,2014-10-14 12:13:00,10.2,66139,0
92,"ESW2-28",220.9,11,0.04,0.01,2.47,0.44,0.99,2.51,2.45,11915,2014-10-15 02:53:00,2014-10-15 02:53:00,2014-10-15 02:53:00,2014-10-15 19:45:00,1.23,11915,0
94,"ESW2-29",0.4,15.4,0.07,0.08,1.15,0.17,0.29,1.22,1.07,5867,2014-11-23 15:46:00,2014-11-23 15:46:00,2014-11-23 15:45:00,2014-11-24 19:17:00,0.25,5867,0
97,"ESW2-31",746.2,84.9,4.27,0.28,7.32,1.22,2.39,11.59,7.03,45619,2014-12-15 20:17:00,2014-12-15 20:17:00,2014-12-15 20:17:00,2014-12-16 20:30:00,1.79,45619,1
101,"ESW2-32b",2206.2,47.9,2.9,0.37,13.69,1.13,5.11,16.59,13.32,42172,2014-12-23 03:11:00,2014-12-23 03:11:00,2014-12-23 03:11:00,2014-12-24 04:36:00,4.06,42172,1
